record_id,photo_id,ຄຳອະທິບາຍ
3a15bafe-33c5-414d-9697-401b9fa4530c,4ab6345d-029a-4989-9780-570677a93296,
a48c0c69-60ea-48f8-ac37-5d86d26a1d57,e91cb42c-295a-4d75-aff7-cba377a969c7,
a48c0c69-60ea-48f8-ac37-5d86d26a1d57,49942214-3106-4737-83ce-29d469fd35b1,
a48c0c69-60ea-48f8-ac37-5d86d26a1d57,5805e04e-cede-48d3-aaf5-14addc158346,
03abff99-eea3-4d7f-8f46-160fe572a955,00c75f58-6e4e-476e-91cc-07ce6d2b65c9,
4d6e5fb2-d7ac-4749-a5c4-aab37c3b5247,1da2aa3c-bfd0-4ce4-be6b-719ab0854b8f,
92588d31-a377-4d81-bc95-bf71fededae2,5b443aa6-dca3-4d8e-922d-b97a60a2def9,
6c139291-e60b-44ee-a2ba-71e430c11e60,6e3a6500-39b3-4033-ab3a-6525088c1550,
ed815427-7fbd-4747-9c39-5b9234edd349,fe401de4-c62b-417a-9f14-9e59e3059044,
1c8625fc-2b1a-4b25-a696-90cf55febd7a,c8e08238-1947-4b43-8f97-5fee2dc5206b,
1c8625fc-2b1a-4b25-a696-90cf55febd7a,9ef381b4-10c6-44d1-a9ef-bd010dd53ff0,
8ed2167f-933b-4ea7-ae99-75dc72bc4770,0fa32cf7-b84b-4d79-8c39-4ab28cfb8b5a,
64af2896-1fa5-4c4a-96f6-b79d35ec19da,7e15a85c-2ea5-4687-92eb-7f77c53161c5,
64af2896-1fa5-4c4a-96f6-b79d35ec19da,8ddf56c7-0ade-4810-9f0c-63c361c074bc,
2edbe718-a3b4-4c03-b06b-8e0fc9a5b5e9,353694d3-b7ad-4263-a389-ed35d4031b9c,
2edbe718-a3b4-4c03-b06b-8e0fc9a5b5e9,9dc0e57b-0d41-472d-82f8-c59d066034b7,
68c63ba8-35e7-4ea0-8ee4-eb074528d993,31efaf6a-993a-4a62-8a36-0c2161347967,
44ad9038-0c5b-4964-a75a-e51cd40130cd,e8e824e7-22cc-4166-9715-5037f5e4e876,
8f7fd7ef-f609-4cc0-8fbc-a360f8f7f50c,b215198b-2deb-4fdc-a681-f4485f143839,
d5e3ae25-d3ea-41da-8fc2-48d52e0abfa8,63559419-4ccd-4e62-ad80-f3745373a484,
b7a95e84-f03e-4063-81bc-b0d5df53bf82,dc2a13c8-2d9e-4c26-8799-9d70678c694e,
