record_id,ສະພາບເຕັກນິກ,vehicle_id,ຊະນິດລົດທີ່ເກີດອຸປະຕິເຫດ,ປະເພດລົດ
d69eb418-d6fa-478d-8591-d5cca52bcde1,1. ດີ,4c177e86-b364-4666-930d-5e3c2c077f1a,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
70c58b71-bd25-4837-80d5-e20332d48556,1. ດີ,591d260a-60c4-4adf-979b-5fd81ce92914,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດບັນທຸກ
70c58b71-bd25-4837-80d5-e20332d48556,1. ດີ,555b6955-9a35-40a1-9666-cdf6bdbbb863,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
66b785a7-75e0-4849-8d03-ca52ac641984,1. ດີ,97a1985e-1556-4bda-859a-4f9c73df7f31,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
c9f4f425-70ee-428a-b208-c56e8e043764,1. ດີ,221f959f-8aa2-4f10-8c7e-b8d520c298e2,2. ລົດເກົ່າຫຼີ,ລົດບັນທຸກ
c9f4f425-70ee-428a-b208-c56e8e043764,1. ດີ,84955eeb-ed60-4e5c-892e-f07da6aaa681,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດໄຖນາ
911bde75-3906-43f6-a8e9-eb08fb6142ee,1. ດີ,f5cdca28-2d96-4510-a268-da794fbc1078,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
911bde75-3906-43f6-a8e9-eb08fb6142ee,1. ດີ,ea67f42b-5b6a-4726-9b92-7963350fb509,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
99fb9599-0121-457e-91d0-eb59937f9650,1. ດີ,e7d58468-fb14-4b88-8a78-07c223d49c4b,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
99fb9599-0121-457e-91d0-eb59937f9650,2. ບໍ່ດີ,6eadb997-31df-4401-8a57-b438d776fcf9,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດໄຖນາ
81d2954d-b530-4de2-9ee1-1560e9c7aa41,2. ບໍ່ດີ,4d7dfdaa-be70-40c7-9802-5ef2306d5b70,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
81d2954d-b530-4de2-9ee1-1560e9c7aa41,1. ດີ,82c0c799-494c-4216-8a09-547fbd881814,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
5d72cd4c-3c42-439b-88d0-bd88905d58ff,1. ດີ,5c55cec8-adb0-4001-8946-1ae1c2ce6eda,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດເກັງ
5d72cd4c-3c42-439b-88d0-bd88905d58ff,1. ດີ,9eda1d9e-1423-4c41-86d6-083e19d8fd1a,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
895a4315-a4d6-4767-b2db-fa5fcc639ea3,1. ດີ,ebc1e9aa-b12b-460e-97f4-3d0e9aba1956,2. ລົດເກົ່າຫຼີ,ລົດກະບະ
895a4315-a4d6-4767-b2db-fa5fcc639ea3,1. ດີ,db0bfa1e-25dd-4945-9c6a-b120eeb7ddc1,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
773f1365-07d5-4b71-8bf1-a513fe00384f,1. ດີ,eba6521e-0cfb-42b0-ab07-435a32aa48ca,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
773f1365-07d5-4b71-8bf1-a513fe00384f,1. ດີ,c0f04fad-ff31-44ad-aba2-6b6feb67f0c0,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
773f1365-07d5-4b71-8bf1-a513fe00384f,1. ດີ,ec3c978e-1bb8-41f6-94c6-ac574ab0edc0,2. ລົດເກົ່າຫຼີ,ລົດຈັກ
99335fd1-a017-4cd1-a5a0-0e3cf2cc8668,1. ດີ,1700b102-593f-4928-9d45-02c3d9c599db,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
99335fd1-a017-4cd1-a5a0-0e3cf2cc8668,1. ດີ,74938d95-bbbf-4237-a0f4-59353f235ed3,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
97880ca7-62c6-4cdc-a426-1cf97a8aae5e,1. ດີ,2d8deabd-e7fe-4136-9a9d-000646e7180e,2. ລົດເກົ່າຫຼີ,ລົດກະບະ
97880ca7-62c6-4cdc-a426-1cf97a8aae5e,,795f674c-22cf-4f65-bd6a-6f937d6b199a,,
95701ca4-55b4-4cd7-a4f0-0f26e0d6bc65,1. ດີ,38142601-67cc-4f0d-92e4-782dd83f9a4b,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
95701ca4-55b4-4cd7-a4f0-0f26e0d6bc65,1. ດີ,6cb42807-adb8-4180-9230-03f8fcc9078f,2. ລົດເກົ່າຫຼີ,ລົດເກັງ
634cac0f-69a9-425b-9d59-ce871b5be89c,1. ດີ,7c929b34-8525-4c8f-b604-9caa0a25e0b9,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດເກັງ
634cac0f-69a9-425b-9d59-ce871b5be89c,1. ດີ,cb0a33ff-4f7a-4958-8f55-9e702c25d2e6,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
ae3bcd48-bd8e-40c5-b479-80fbeeba2363,1. ດີ,fe4658a4-b379-4738-875d-f85e39ec10e7,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
ae3bcd48-bd8e-40c5-b479-80fbeeba2363,1. ດີ,4cb5c10d-e92f-455e-adf9-8d6e2801890f,2. ລົດເກົ່າຫຼີ,ລົດບັນທຸກ
f8d1d129-5511-4ba3-a717-c0c691b811e6,1. ດີ,c46fb708-6b20-4eb1-8367-1f2a5410c716,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
f8d1d129-5511-4ba3-a717-c0c691b811e6,,ec746567-ca56-48dd-a116-326f3bc0d533,,ຄົນຍາງ
cdbdb541-32d5-4b56-86a0-b460b3b53a83,1. ດີ,4fb2a8ea-7f22-400d-828c-a9a40518c26f,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
cdbdb541-32d5-4b56-86a0-b460b3b53a83,1. ດີ,3f6229e4-8140-4478-bcd9-6d3813b31588,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດບັນທຸກ
24b10974-18e3-46eb-87f4-91283c7100e2,1. ດີ,d13b346c-b60d-41c6-b77f-2887527f8675,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
24b10974-18e3-46eb-87f4-91283c7100e2,1. ດີ,5071bdf2-e751-4b50-8372-886caa5c86b7,2. ລົດເກົ່າຫຼີ,ລົດກະບະ
16ab1991-3644-450a-bb9e-3e45150d6831,1. ດີ,1eff4859-c4df-4b61-8aaa-bd5fce6aff57,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
16ab1991-3644-450a-bb9e-3e45150d6831,1. ດີ,55ccbf9b-a274-4c71-8e56-62da53d5acbe,2. ລົດເກົ່າຫຼີ,ລົດເກັງ
16ab1991-3644-450a-bb9e-3e45150d6831,1. ດີ,b25ef716-d761-4e10-bf84-4b9f9c31e696,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຖີບ
f3e9118c-da03-4351-b835-fbc939d1456d,1. ດີ,52266155-41e7-4b5f-a6c5-db4ca1e6b9a6,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
f3e9118c-da03-4351-b835-fbc939d1456d,1. ດີ,db196d4d-23e9-46ef-bc9d-2b14070233eb,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
2acb1e71-c139-4a1c-80eb-353d52ec6a8b,1. ດີ,85bec42e-e294-418d-8ae0-bc4089068f22,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
